seeker_post,ED_resp,EPITOME_resp,SYNTHEMPATHY_resp
im feeling so morose,Why are you feeling morose?</s>,I'm feeling the same way. I'm not sure what to do.,"I'm really sorry to hear that you're feeling this way. It's completely normal to experience feelings of sadness and melancholy from time to time, but it's important to remember that these feelings are temporary and will pass. It might be helpful to try and identify the root cause of your feelings, and if you're struggling to do so, consider reaching out to a trusted friend or family member for support. You might also find it helpful to engage in activities that bring you joy and help you feel more connected to the world around you. Remember, you're not alone in this, and it's okay to ask for help when you need it."
i still feel disappointed though,I'm sorry to hear that.  What happened?</s>,I feel like I'm the only one who feels this way.,"I'm really sorry to hear that you're feeling disappointed. It's completely normal to feel that way after a big event like this. It's important to remember that it's okay to have these feelings, and it's okay to take some time to process them. You're not alone in feeling this way, and there are people who care about you and want to support you through this."
i feel damaged from just witnessing it,I'm sorry to hear that.  I hope you are able to recover from it.,I feel like I'm damaged from just witnessing it.,"I'm really sorry to hear that you're feeling this way. It's completely understandable to feel overwhelmed and affected by witnessing something traumatic. It's important to remember that it's okay to take time to process and heal from such experiences. You don't have to go through this alone - seeking support from friends, family, or a professional can help you work through these feelings and find ways to cope."
i do when i feel lethargic,I do too. I'm not sure why.,I just lay in bed and watch youtube videos.,"It sounds like you're experiencing a lack of energy and motivation, which can be a common feeling for many people. It's important to remember that everyone has their own unique experiences and feelings, and it's okay to acknowledge and validate those feelings.

One way to combat lethargy is to try and identify the root cause of your feelings. Are you feeling this way due to a specific event or situation, or is it a more general feeling of fatigue? Once you've identified the cause, you can work on addressing it.

Another way to combat lethargy is to practice self-care. This can include things like getting enough sleep, eating a healthy diet, and engaging in activities that bring you joy and relaxation. It's also important to take breaks and prioritize your own well-being.

If you're feeling particularly overwhelmed or stuck, it might be helpful to seek support from a friend, family member, or mental health professional. They can provide a listening ear and help you work through your feelings.

Remember, it's okay to feel lethargic sometimes, and it's important to be kind to yourself during these times. You are not alone in this feeling, and there are many resources and people available to help you through it."
i was an outsider and i never felt part as i was new that made me feel disheartened,I'm sorry to hear that.  I'm sure you'll find a place where you feel more comfortable.,I'm sorry you feel that way. I'm sure you're a great person.,"i'm really sorry to hear that you're feeling this way. It's completely normal to feel disheartened when you're in a new environment and don't feel like you belong. It takes time to adjust and find your place in a new community. Remember, everyone has their own unique experiences and perspectives, and it's okay to take time to find your own. You are not alone in this feeling, and it's important to be kind to yourself and give yourself the time and space to adjust."
i find this meeting a little scolding when anyone with less than five years of sobriety attempts to engage theres a definite feeling in the air that some horrible crime is being committed,I agree. I'm new to AA and I'm not sure what the rules are. I'm just trying to get through the day.,I'm sorry you feel that way. I've been to a few meetings and I've never felt that way. I've felt welcomed and accepted. I've felt like I was in the right place. I've felt like I was home. I've felt like I was with my people. I've felt like I was with my family. I've felt like I was with my tribe. I've felt like I was with my brothers and sisters. I've felt like I was with my friends. I've felt like I was with my community. I've felt like I was with my people. I've felt like I was with my family. I've felt like I was with my tribe. I've felt like I was with my brothers and sisters. I've felt like I was with my friends. I've felt like I was with my community. I've felt like I was with my people. I've felt like I was with my family. I've felt like I was with my tribe. I've felt like I was with my brothers and sisters. I've felt like I was with my friends. I've felt like I was with my community. I've felt like I was with my people. I've felt like I was with my family. I've felt like I was with my tribe. I've felt like I was with my brothers and sisters. I've felt like I was with my friends. I've felt like I was with my community. I've felt like I was with my people. I've felt like I was with my family. I've felt like I was with my tribe. I've felt like I was with my brothers and sisters. I've felt like I was with my friends. I've felt like I was with my community. I've felt like I was with my people. I've felt like I was with my family. I've felt like I was with my tribe. I've felt like I was with my brothers and sisters. I've felt like I was with my friends. I've felt like I was with my community. I've felt like I was with my people. I've felt like I was with my family. I've felt like I was with my tribe. I've felt,"i can understand why you might feel that way, but it's important to remember that everyone's journey to sobriety is unique. It's also important to be mindful of the fact that addiction is a complex issue, and it's not always easy to understand the root causes. It's also important to remember that addiction is a disease, and it's not something that can be fixed with a simple solution."
i should have been at the pub instead of which i stayed at home feeling morose and depressed,I'm sorry to hear that.  I hope you feel better soon.,I'm sorry you feel that way. I'm sure you'll feel better soon.,"It's completely understandable to feel disappointed when you miss out on a social event, especially when you're feeling down. It's important to remember that it's okay to prioritize your own well-being and take care of yourself, even if it means missing out on certain activities. You can always make up for it next time, and in the meantime, try to focus on the things that bring you joy and comfort."
i shouldnt feel gloomy,Why do you feel gloomy?</s>,I feel gloomy too.,"It's completely normal to feel down sometimes, especially when you're going through a tough time. It's important to acknowledge and validate your feelings, even if you don't want to feel that way. Remember, it's okay to not be okay."
i was feeling a bit jaded combination of mixed up feelings not enough sleep and too many big screen presentations i think,I'm sorry to hear that.  I hope you can get some rest soon.,I'm sorry you're feeling that way. I hope you feel better soon.,"It sounds like you're feeling overwhelmed and exhausted from the combination of work and personal responsibilities. It's important to take care of yourself and prioritize self-care. Try to get enough sleep, take breaks, and engage in activities that bring you joy and relaxation. Remember, it's okay to ask for help and support when you need it."
i guess which meant or so i assume no photos no words or no other way to convey what it really feels unless you feels it yourself or khi bi t au th m i bi t th ng ng i b au i rephrase it to a bit more gloomy context unless you are hurt yourself you will never have sympathy for the hurt ones,I'm sorry to hear that. I hope you feel better soon.,"I'm sorry you feel that way. I'm not sure what you mean by ""no photos no words or no other way to convey what it really feels unless you feels it yourself or khi bi t au th m i bi t th ng ng i b au i rephrase it to a bit more gloomy context unless you are hurt yourself you will never have sympathy for the hurt ones"" but I hope you feel better soon.","i understand that you're feeling frustrated and hurt, and it's not easy to express your emotions when you're going through a difficult time. It's important to remember that everyone experiences pain and suffering differently, and it's not always easy to understand someone else's feelings unless you've been through a similar experience. It's okay to feel overwhelmed and to need time to process your emotions."
ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness,I'm sorry to hear that.  I hope you can find a way to help her.,"I'm sorry you're going through this. I'm not sure if this is helpful, but I've found that when I'm feeling numb, it's because I'm trying to avoid feeling something else. I'm not sure what that something else is, but I've found that if I can just sit with the numbness for a while, it eventually passes and I can feel something else.","I'm really sorry to hear that you're going through such a difficult time. It's completely understandable that you're feeling overwhelmed and numb, especially when your mother is expressing such intense emotions. It's important to remember that it's okay to feel this way, and that you're not alone in your struggles.

It might be helpful to try and find a healthy outlet for your emotions, such as journaling, talking to a trusted friend or family member, or seeking professional help. It's also important to take care of yourself and practice self-compassion during this time.

Remember that it's okay to feel numb sometimes, and that it's okay to ask for help. You're not alone in this, and there are people who care about you and want to support you."
i can t be with her in portland and i feel fairly useless here in strasbourg,I'm sorry to hear that.  I hope you can be with her soon.,I'm in a similar situation. I'm in a long distance relationship with my girlfriend. I'm in the UK and she's in the US. I'm not sure if it's worth it.,"It sounds like you're feeling disconnected from your partner and your surroundings, which can be a challenging feeling to navigate. It's important to remember that it's okay to feel this way, and it's okay to ask for help or support when you need it.

It might be helpful to try and identify what specifically is making you feel this way. Is it the distance between you and your partner, or is it the unfamiliarity of your surroundings in Strasbourg?

If it's the distance, it might be helpful to find ways to connect with your partner more frequently, even if it's just through video calls or text messages. It's also important to remember that relationships take work, and it's okay to ask for help or support from your partner when you need it.

If it's the unfamiliarity of your surroundings, it might be helpful to try and find ways to connect with your new environment. This could mean exploring the city, trying new activities, or connecting with new people. It's also important to remember that it's okay to feel uncomfortable or out of place sometimes, and it's okay to ask for help or support when you need it.

Overall, it's important to remember that feelings of disconnection and uncertainty are normal, and it's okay to ask for help or support when you need it."
i do feel alittle submissive it isnt the same,I'm sorry to hear that.  I hope you feel better soon.,I'm not sure what you mean by submissive.,"I'm really sorry to hear that you're feeling this way. It's important to remember that everyone experiences emotions differently, and it's okay to feel submissive sometimes. It's also okay to not feel the same way all the time. If you're feeling overwhelmed or like you need help, it might be a good idea to talk to someone you trust, like a friend, family member, or therapist. They can help you work through your feelings and find ways to cope."
i was trying to think of anywhere else ive been that made me feel so awful awful awful,I'm sorry to hear that.  I hope you feel better soon.,"I've been to a lot of places, but I've never felt so awful as I do in my own home.","I'm really sorry to hear that you're feeling this way. It sounds like you've been through a lot and it's understandable that you're feeling overwhelmed. It's important to remember that it's okay to not feel okay sometimes, and that it's okay to ask for help. You don't have to go through this alone."
i am starting to feel like a worthless person,Why do you feel that way?</s>,I feel like that too. I'm not sure what to do about it.,"It's completely normal to feel this way sometimes, especially when you're going through a tough time. It's important to remember that everyone has their own unique struggles and challenges, and it's okay to not feel like you're doing everything perfectly. It's also important to take care of yourself and practice self-compassion during these times. Remember that you are not alone, and there are people who care about you and want to see you succeed."
i didn t expect reps to make me ache really especially as i often lift heavier for more reps but i have to say i can feel my muscles aching already,I'm sure you'll be fine.,I'm not sure what you mean by reps. Are you talking about sets?</s>,"It sounds like you're experiencing the benefits of a challenging workout! It's normal to feel muscle soreness after lifting heavier weights or doing more reps than usual. This is a sign that your muscles are adapting and getting stronger. Remember to take care of your body by staying hydrated, getting enough rest, and listening to your body's signals."
i really didn t know what i was feeling my mind was blank i was confused and numb,I'm sorry to hear that.  I hope you are feeling better now.,"I'm sorry you're feeling this way. I'm not sure what you're feeling, but I'm here if you need to talk.","It sounds like you're going through a difficult time, and it's completely normal to feel overwhelmed and confused. It's important to remember that it's okay to not know how you're feeling, and it's okay to take some time to process your emotions. You don't have to have all the answers right away, and it's okay to ask for help if you need it."
i know that its hard cos you might feel helpless or anything but sometimes its something that is beyond what you can do,I know. I'm just trying to be there for her.,"I'm sorry you're feeling this way. I'm not sure what you mean by ""beyond what you can do"", but if you're feeling helpless, I'm here to listen.","i understand that it can be difficult to feel helpless in situations that are beyond our control. It's important to remember that it's okay to feel this way, and it's okay to ask for help when we need it."
i feel guilty that i dont have the need to constantly check in on her,I'm sure she's fine.,I feel the same way. I feel like I'm a bad person for not caring about her.,It's important to remember that everyone has different needs and ways of expressing love. Just because you don't feel the need to constantly check in on your partner doesn't mean you don't love them. It's okay to have different communication styles and needs.
i used to feel guilty about the large portion of my time and income devoted to various craft hobbies but eventually i realised that i am stress busting and its cheaper than therapy,I agree. I have a lot of hobbies and I love them all.,I'm glad you found something that helps you. I'm a bit jealous. I'm trying to find something that helps me.,"It's great that you've come to terms with your hobbies and have found a way to enjoy them without feeling guilty. It's important to remember that everyone has different ways of managing stress, and if your hobbies are helping you to relax and feel better, then they are definitely worth pursuing."
i am pretty sure they took the two most horribly sounding words and stuck them together so fat people would feel shamed for being fat,I think you are right.,I'm pretty sure they took the two most horribly sounding words and stuck them together so fat people would feel shamed for being fat</s>,"i'm really sorry to hear that you're feeling this way. It's important to remember that words can have different meanings and connotations for different people. While the term ""fat"" may have negative associations for some, it's also possible to reclaim it and use it in a more positive and empowering way.

It's also important to remember that your worth as a person is not defined by your body size or shape. You are so much more than that, and it's okay to love and accept yourself just as you are.

If you're struggling with body image issues, it might be helpful to seek support from a trusted friend, family member, or mental health professional. They can help you work through these feelings and develop a more positive and healthy relationship with your body."
i feel the character im doing is a little more beaten down and the comedy is a little bit smaller,I'm not sure what you mean by that.,I'm sorry to hear that. I hope you feel better soon.,"I understand that you're feeling a bit overwhelmed with the character you're working on. It's completely normal to feel that way when you're trying to bring a character to life. Remember, it's okay to take a step back and reassess your approach. You can always come back to it with fresh eyes and a new perspective."
i be made to feel rotten,Why?</s>,I feel like I'm rotting from the inside out. I'm so tired of feeling like this.,"i be made to feel rotten, it's important to remember that you are not alone in this feeling. It's completely normal to feel overwhelmed and stressed, especially when you're dealing with a difficult situation. It's okay to take a step back and acknowledge your emotions, and it's okay to ask for help when you need it. Remember, you are strong and capable, and you can get through this."
i would feel ashamed or guilty if i were to take too much of the commons for myself,I would feel the same way.,"I'm not sure what you mean by ""the commons"" but I'm guessing you mean the internet. I don't feel ashamed or guilty for using the internet. I feel ashamed and guilty for not using it to help others.","It's important to remember that taking from the commons is not inherently wrong or shameful. The commons are a shared resource that we all have a right to access and use. However, it's also important to be mindful of the needs of others and to use the commons in a way that is sustainable and responsible. If you find yourself feeling ashamed or guilty about taking too much from the commons, it might be a sign that you need to reevaluate your relationship with the resource and consider how you can use it in a way that is fair and respectful to others."
i start to feel ugly unloved poor and unhappy,I'm sorry to hear that.  What is it that makes you feel that way?</s>,I feel the same way. I'm not sure what to do about it.,"i'm really sorry to hear that you're feeling this way. It's important to remember that these feelings are temporary and they don't define who you are. It's okay to feel this way sometimes, but it's also important to take care of yourself and find ways to boost your self-esteem. Maybe try doing something that makes you feel good about yourself, like taking a bath, going for a walk, or spending time with a friend. Remember, you are loved and valued, and these feelings will pass."
i dont think my desire level is too much to bear but i feel unwelcome,I'm sorry to hear that.  What makes you feel unwelcome?</s>,I'm sorry you feel unwelcome. I hope you find a place where you feel welcome.,"It's important to remember that everyone's desires and needs are unique, and it's okay to have strong feelings. It's also understandable to feel unwelcome in certain situations. It might be helpful to take some time to reflect on what's causing these feelings and consider what steps you can take to address them."
i have had the luxury of expressing myself and my feelings without the fear of getting beaten up or scolded,I'm glad you have that freedom.,I'm sorry you had to go through that.,"It sounds like you've had a difficult past, but it's great that you're now able to express yourself freely and without fear of repercussions. It takes a lot of courage to open up and share your feelings, and I'm proud of you for taking that step. Remember, it's okay to feel and it's okay to express yourself. You deserve to be heard and respected."
i can feel it in my aching bones,I'm sorry to hear that.  I hope you feel better soon.,I'm sorry you're feeling that way. I hope you feel better soon.,"i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in my aching bones

i can feel it in"
i feel i m being punished for too many thoughtless years of assuming that the trappings of success were earned and not given,I'm sorry to hear that.  I hope you can find a way to forgive yourself.,I feel like I'm being punished for being a good person.,"i'm really sorry to hear that you're feeling this way. It's important to remember that everyone's journey is unique, and it's okay to have made mistakes in the past. It's also important to recognize that success is not always about material possessions or external validation. It's about finding meaning and purpose in your life, and that can come from within. You are not being punished for your past mistakes, but rather, you are being given the opportunity to learn and grow from them. It's never too late to make positive changes and to work towards a more fulfilling life."
i do this if i allow myself to sit in this cycle today i will cause a nasty big blow up fight in public and i will feel humiliated and proven right that i am an unstable bad person,I'm sorry to hear that.  I hope you can get through this.,"I'm sorry you feel that way. I'm not sure what you mean by ""this"" but I hope you can find a way to feel better.","It sounds like you're feeling overwhelmed and anxious about a potential situation. It's important to remember that it's okay to feel this way, and it's okay to take a step back and reassess the situation. You don't have to allow yourself to feel this way, and you don't have to prove anything to anyone. It's okay to take care of yourself and prioritize your own well-being."
i feel let alone give a shit,I'm sorry to hear that.  What happened?</s>,I feel the same way. I'm sorry you feel that way.,"I'm really sorry to hear that you're feeling this way. It's completely normal to feel overwhelmed and disconnected sometimes, especially when we're going through tough times. It's important to remember that you're not alone in this, and there are people who care about you and want to help. It might be helpful to reach out to someone you trust, like a friend or family member, and share how you're feeling. They might be able to offer support and help you feel less alone."
i feel heartbroken but for some reason not strong enough to say i m finished with him,I'm sorry to hear that.  I hope you can find the strength to move on.,I'm sorry you're going through this. I'm going through something similar right now. I'm not sure if I'm strong enough to say I'm done with him either.,"It's completely normal to feel heartbroken after a breakup, and it's also normal to feel like you're not strong enough to move on. It takes time to heal from a relationship, and it's important to be gentle with yourself during this process. Remember that you are not alone, and there are many people who have gone through similar experiences and come out the other side. It may be helpful to talk to a trusted friend or family member about how you're feeling, or to seek professional help from a therapist or counselor."
i feel so unimportant it sucks,Why do you feel that way?</s>,I feel the same way. I feel like I'm just a burden to everyone.,"i'm really sorry to hear that you're feeling this way. It's completely normal to feel unimportant at times, especially when we're going through tough situations. It's important to remember that everyone has their own unique struggles and challenges, and it's okay to not feel important all the time.

It might be helpful to take a step back and reflect on what makes you feel unimportant. Is it a specific situation or person that's making you feel this way? Or is it a more general feeling of not being valued or appreciated?

If it's a specific situation, try to identify what's causing the feeling and see if there's anything you can do to change it. If it's a more general feeling, it might be helpful to talk to someone you trust about how you're feeling.

Remember, you are important and valuable, and it's okay to not feel that way all the time. It's important to take care of yourself and prioritize your own needs, even when it feels like you're not important."
i would feel so devastated that every channel i click on the the tv was another sport event or maybe the same sport event but in different language,I would be so upset. I would probably just turn the TV off.,"I'm sorry you feel that way. I'm not sure what you mean by ""sport event"" but I hope you find something you enjoy watching.","i'm really sorry to hear that you're feeling so overwhelmed and frustrated with the situation. It's completely understandable to feel that way when you're constantly bombarded with sports events that you're not interested in. It's like being trapped in a never-ending loop of the same thing over and over again. It's like being stuck in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a never-ending loop of the same thing over and over again. It's like being stuck in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a room with a broken tv that only plays sports channels, and you're just trying to escape the monotony. It's like being trapped in a room with a broken tv that only plays sports channels, and you're just trying to"
i am feeling more pain and hurt than i did before,I'm sorry to hear that.  What happened?</s>,I'm sorry to hear that. I hope you feel better soon.,"i'm really sorry to hear that you're feeling more pain and hurt than before. It's important to remember that it's okay to feel these emotions, and it's okay to take time to process them. It might be helpful to talk to someone you trust, such as a friend, family member, or therapist, about what you're going through. They can provide support and help you work through your feelings. Additionally, there are many resources available to help you cope with pain and hurt, such as meditation, exercise, and therapy. Please take care of yourself and know that you're not alone in this."
ive been having trouble sleeping my anxiety is causing my social life to suffer i lack the motivation that used to drive me work is quickly becoming a chore where i was once satisfied and i feel dull and uninteresting,I'm sorry to hear that.  I've been there.  I've found that exercise helps me a lot.  It's a great way to get out of your head and focus on something else.,"I'm sorry to hear that. I've been there. I'm not sure what to say, but I'm here if you need to talk.","It sounds like you're going through a tough time right now, and it's completely normal to feel this way. It's important to remember that everyone experiences anxiety and stress at some point in their lives. It's also important to acknowledge that your feelings are valid and that you're not alone in this.

It's great that you're aware of the impact that your anxiety is having on your sleep, social life, and motivation. It's also important to recognize that these feelings are not a reflection of your worth or abilities.

It's possible that your anxiety is causing you to feel overwhelmed and disconnected from your usual sources of joy and motivation. It's also possible that you're experiencing a sense of burnout or exhaustion from your work.

It's important to take care of yourself during this time. This might mean seeking professional help, such as therapy or counseling, to help you manage your anxiety and stress. It might also mean taking a break from work or other responsibilities to focus on your mental health.

Remember that it's okay to ask for help and to prioritize your well-being. You are not alone in this, and there are resources available to support you."
i have come off conquerer others i feel i have missed the mark or perhaps the lesson that i was suppose to learn,I'm sorry to hear that.  What was the lesson you were suppose to learn?</s>,I'm not sure what you mean by this.,"It sounds like you're feeling a sense of disappointment or regret about your past actions, and you're questioning whether you've learned the right lessons from those experiences. It's important to remember that everyone makes mistakes and learns from them, and it's okay to feel that you could have done things differently. However, it's also important to recognize that every experience, even the difficult ones, can teach us valuable lessons and help us grow as individuals. It's never too late to reflect on our past actions and learn from them, and it's okay to take the time to do so."
i am merely a man who will feel humiliated whenever i am intimidated by you,I'm sorry. I didn't mean to intimidate you.,I'm a man who will feel humiliated whenever I am intimidated by you.,"i'm sorry to hear that you're feeling this way. It's important to remember that everyone has their own unique experiences and perspectives, and it's okay to feel intimidated sometimes. It's also important to remember that you are not defined by your feelings, and that it's okay to ask for help or support when you need it."
i cant help feeling ugly,Why do you feel that way?</s>,"I'm sorry you feel that way. I'm not sure what to say to make you feel better, but I hope you feel better soon.","It's completely normal to feel this way sometimes, especially when we're going through tough times. Remember that beauty is subjective and comes in many forms. You are more than just your physical appearance, and your worth is not defined by it. Take some time to focus on the things that make you feel good about yourself, and try to be kind to yourself. You are beautiful, inside and out."
i know that next time i get feeling all needy and want something no matter how petty i am going to say so,I'm sorry to hear that.  I hope you feel better soon.,I'm sorry you feel that way. I hope you feel better soon.,"It's important to acknowledge and validate your feelings, even if they seem petty or unimportant to others. It's okay to have needs and desires, and it's okay to express them. However, it's also important to be mindful of how you express them and to consider the impact they may have on others."
i used to feel rejected and like it was my fault as i am overweight,I'm sorry to hear that.  I'm sure you are a wonderful person.,I'm overweight too. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm not sure if it's my fault or not. I'm,"It's important to remember that feeling rejected and blaming yourself for being overweight are not your fault. It's common for people to struggle with body image and self-esteem, and it's important to be kind to yourself during this process. It's also important to seek support from a healthcare professional or a mental health professional if you're feeling overwhelmed or struggling to cope."
i feel like i mostly post when im feeling bad so i wanted you to know that i have good days too,I'm glad to hear that.  I hope you have many more good days.,I'm glad to hear that. I hope you have many more good days than bad days.,"It's great that you're acknowledging your good days, and I'm glad to hear that you're feeling better. It's important to remember that everyone has good and bad days, and it's okay to share both. Your posts are a reflection of your experiences, and it's important to be honest about them."
i often feel lonely,I'm sorry to hear that.  What do you do to make yourself feel better?</s>,I feel lonely too.,"It's completely normal to feel lonely sometimes, especially when you're going through a tough time. Remember that you're not alone in this feeling, and there are people who care about you and want to help. It might be helpful to reach out to a friend or family member, or consider joining a support group or online community where you can connect with others who understand what you're going through."
i could feel how exhausted my arms and legs were,I bet.  I'm sure you were very tired.,I'm sorry you're feeling this way. I hope you feel better soon.,"It sounds like you're experiencing physical fatigue, which is completely normal after a long day of work or physical activity. It's important to listen to your body and take breaks when you need them. You might also consider incorporating some gentle stretching or light exercise into your daily routine to help improve your overall energy levels."
i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yay im worse at what i do best and for this gift i feel blessed our little group has always been and always will until the end hello hello hello how low,I'm sorry to hear that.  I hope you feel better soon.,I feel like I'm the only one who doesn't get it.,"i'm not sure what's going on here, but it sounds like you're feeling overwhelmed and confused. It's okay to feel this way sometimes, and it's important to take a step back and try to understand what's causing these feelings. Maybe you're feeling stressed about something specific, or maybe you're just feeling generally overwhelmed by life. Either way, it's important to remember that you're not alone and that it's okay to ask for help when you need it."
im heartbroken about in love with the world but i think maybe im feeling heartbroken so acutely is it came to me today that every time ive been asked to stay somewhere in the past years or so ive left,I'm sorry to hear that.  I hope you can find a way to get through this.,"I'm sorry to hear that. I'm not sure if I can help you, but I'm here if you need to talk.",I'm really sorry to hear that you're feeling this way. It sounds like you're going through a difficult time and it's completely normal to feel heartbroken when you're in love with the world. It's also understandable that you're questioning your feelings and wondering why you've been leaving places when you've been asked to stay. It's important to remember that everyone's experiences are unique and there's no right or wrong way to feel. It might be helpful to talk to someone you trust about your feelings and see if they can offer any insight or support.
i wont feel sorry for leaving you behind,I'm not going to leave you behind.,I'm sorry you feel that way.,"i understand that you're feeling strong emotions right now, and it's important to acknowledge those feelings. It's okay to not feel sorry for leaving someone behind, especially if it's for your own well-being. However, it's also important to consider the impact of your actions on others. If you're leaving someone behind, it's important to communicate your feelings and intentions clearly, and to try to find a way to support them in their own journey."
i remember driving home and arriving home feeling very mournful,I'm sorry to hear that.  I hope you are doing better now.,I'm sorry you feel that way. I've been there.,"I'm really sorry to hear that you're feeling so mournful. It's important to acknowledge and validate your feelings, and it's okay to take time to process them. If you're feeling overwhelmed, it might be helpful to talk to someone you trust, such as a friend, family member, or therapist, who can offer support and guidance. Remember, it's okay to not be okay, and you're not alone in this."
i feel so hated by the man that is suppous to love me forever and ever,I'm sorry to hear that.  What happened?</s>,I'm sorry you feel that way. I'm going through the same thing.,"It sounds like you're going through a really tough time right now. It's important to remember that feelings of hatred and anger are valid, and it's okay to feel them. It's also important to remember that everyone has their own struggles and challenges, and it's not always easy to understand or empathize with someone else's pain.

It might be helpful to try to communicate with your partner about how you're feeling and what you need from them. It's possible that they may not be aware of the impact their actions are having on you, and that they may be willing to work with you to address the issues that are causing you to feel this way.

If you're not comfortable talking to them directly, you might consider seeking support from a trusted friend, family member, or mental health professional. They can help you process your feelings and work through any underlying issues that may be contributing to your feelings of hatred and anger.

Remember, it's okay to take time for yourself and prioritize your own well-being. You deserve to feel loved and supported, and it's important to surround yourself with people who can help you feel that way."
i feel an emotional attachment to his work that i simply don t feel with anyone else,I feel the same way about him. I think he is a genius.,I feel the same way about my ex. I don't know why.,"It sounds like you're experiencing a deep connection with this person's work, which is a beautiful thing. It's important to remember that it's okay to feel this way, and it doesn't mean that you're not capable of feeling the same way about other people or things. It's also important to take care of yourself and make sure that you're not putting too much pressure on yourself to feel a certain way about everyone or everything."
i feel a little pained but that will probably pass the last illusions of childhood,I'm sorry to hear that.  I hope you can find some peace in the near future.,I feel like I'm the only one who feels this way.,"I'm really sorry to hear that you're feeling a bit pained right now. It's completely normal to experience a range of emotions when we're going through significant life changes, and it sounds like you're going through a particularly challenging one.

It's important to remember that these feelings are temporary, and they will pass with time. It's also important to be kind to yourself during this time, and to acknowledge that it's okay to feel the way you do.

If you're feeling overwhelmed or like you need some extra support, it might be helpful to reach out to a trusted friend, family member, or mental health professional. They can help you navigate these feelings and provide you with the tools and resources you need to get through this difficult time.

Remember, you're not alone in this, and it's okay to ask for help when you need it. You're strong and resilient, and I have faith that you'll be able to get through this challenging time."
im feeling a little less jaded,That's good.  What are you doing to feel less jaded?</s>,I'm glad to hear that.,"I'm glad to hear that you're feeling a little less jaded. It's important to acknowledge when we're feeling this way, as it can be a sign that we need to make some changes in our lives or approach things from a different perspective. Remember, it's okay to feel this way sometimes, and it's important to take care of yourself and do things that bring you joy and fulfillment."
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,I'm sorry to hear that.  I hope you can work it out with your parents.,I feel the same way. I'm always the one getting punished for stupid things and I feel like I'm being chastised for behaving.,"It sounds like you're feeling frustrated and misunderstood. It's important to remember that everyone makes mistakes, and it's okay to make them. It's also important to communicate your feelings to the people around you, so they can understand your perspective and work with you to find a solution."
